+-------------------------------+-----------------------------------------+------------------------------------------+-----------------------------+
|                               | Key                                     | Title                                    | Unit                        |
| (46, 60, 64.0, nan, nan)      | KostenIncidentAanvalBuitenaf_49         | Kosten incident (aanval buitenaf)        | % van bedrijven             |
| (46, 65, 66.0, nan, nan)      | UitvalICTDienstDoorVeiligheidsinc_50    | Uitval ICT-dienst door veiligheidsinc.   | % van bedrijven             |
| (46, 65, 67.0, nan, nan)      | UitvalICTDienstDoorAanvalBuitenaf_51    | Uitval ICT-dienst door aanval buitenaf   | % van bedrijven             |
| (46, 65, 68.0, nan, nan)      | VernietigingDataDoorVeiligheidsinc_52   | Vernietiging data door veiligheidsinc.   | % van bedrijven             |
| (46, 65, 69.0, nan, nan)      | VernietigingDataAanvalVanBuitenaf_53    | Vernietiging data;  aanval van buitenaf  | % van bedrijven             |
| (46, 65, 70.0, nan, nan)      | OnthullingGegevensDoorICTInbraak_54     | Onthulling gegevens door ICT-inbraak     | % van bedrijven             |
| (46, 65, 71.0, nan, nan)      | OnthullingGegevensDoorInternIncident_55 | Onthulling gegevens door intern incident | % van bedrijven             |
| (46, 72, 73.0, nan, nan)      | UitvalICTDienstDoorVeiligheidsinc_56    | Uitval ICT-dienst door veiligheidsinc.   | % van bedrijven             |
| (46, 72, 74.0, nan, nan)      | UitvalICTDienstDoorAanvalBuitenaf_57    | Uitval ICT-dienst door aanval buitenaf   | % van bedrijven             |
| (46, 72, 75.0, nan, nan)      | VernietigingDataDoorVeiligheidsinc_58   | Vernietiging data door veiligheidsinc.   | % van bedrijven             |
| (46, 72, 76.0, nan, nan)      | VernietigingDataAanvalVanBuitenaf_59    | Vernietiging data;  aanval van buitenaf  | % van bedrijven             |
| (46, 72, 77.0, nan, nan)      | OnthullingGegevensDoorICTInbraak_60     | Onthulling gegevens door ICT-inbraak     | % van bedrijven             |
| (46, 72, 78.0, nan, nan)      | OnthullingGegevensDoorInternIncident_61 | Onthulling gegevens door intern incident | % van bedrijven             |
| (46, 79, 80.0, nan, nan)      | MeestalVolledigAutomatisch_62           | Meestal volledig automatisch             | % van bedrijven             |
| (46, 79, 81.0, nan, nan)      | MeestalDeelsHandmatig_63                | Meestal (deels) handmatig                | % van bedrijven             |
| (46, 79, 82.0, nan, nan)      | NietVanToepassing_64                    | Niet van toepassing                      | % van bedrijven             |
| (83, 84, 85.0, nan, nan)      | AndereBedrijven_65                      | Andere bedrijven                         | % van bedrijven             |
| (83, 84, 86.0, nan, nan)      | Overheden_66                            | Overheden                                | % van bedrijven             |
| (83, 84, 87.0, nan, nan)      | Consumenten_67                          | Consumenten                              | % van bedrijven             |
| (83, 88, 89.0, nan, nan)      | EFactuur_68                             | E-factuur                                | % van verzonden facturen    |
| (83, 88, 90.0, nan, nan)      | ElektronischMaarGeenEFactuur_69         | Elektronisch, maar geen e-factuur        | % van verzonden facturen    |
| (83, 88, 91.0, nan, nan)      | InPapierenVorm_70                       | In papieren vorm                         | % van verzonden facturen    |
| (83, 92, 93.0, nan, nan)      | EFactuur_71                             | E-factuur                                | % van ontvangen facturen    |
| (83, 92, 94.0, nan, nan)      | GeenEFactuur_72                         | Geen e-factuur                           | % van ontvangen facturen    |
| (83, 95, nan, nan, nan)       | EFacturenVerzonden_73                   | E-facturen verzonden                     | % van bedrijven             |
| (83, 96, nan, nan, nan)       | EFacturenOntvangen_74                   | E-facturen ontvangen                     | % van bedrijven             |
| (97, 98, 99.0, nan, nan)      | VerkoopViaECommerce_75                  | Verkoop via e-commerce                   | % van bedrijven             |
| (97, 98, 100.0, 101.0, nan)   | ViaWebsiteOfAppsVanEigenBedrijf_76      | Via website of apps van eigen bedrijf    | % van omzet                 |
| (97, 98, 100.0, 102.0, nan)   | ViaWebsiteOfAppsVanAndereBedrijven_77   | Via website of apps van andere bedrijven | % van omzet                 |
| (97, 98, 103.0, nan, nan)     | Verkoopwaarde1VanDeTotaleOmzet_78       | Verkoopwaarde < 1% van de totale omzet   | % van bedrijven             |
| (97, 98, 104.0, nan, nan)     | Verkoopwaarde1VanDeTotaleOmzet_79       | Verkoopwaarde >= 1% van de totale omzet  | % van bedrijven             |
| (97, 98, 105.0, nan, nan)     | Verkoopwaarde2VanDeTotaleOmzet_80       | Verkoopwaarde >= 2% van de totale omzet  | % van bedrijven             |
| (97, 98, 106.0, nan, nan)     | Verkoopwaarde5VanDeTotaleOmzet_81       | Verkoopwaarde >= 5% van de totale omzet  | % van bedrijven             |
| (97, 98, 107.0, nan, nan)     | Verkoopwaarde10VanDeTotaleOmzet_82      | Verkoopwaarde >= 10% van de totale omzet | % van bedrijven             |
| (97, 98, 108.0, nan, nan)     | Verkoopwaarde25VanDeTotaleOmzet_83      | Verkoopwaarde >= 25% van de totale omzet | % van bedrijven             |
| (97, 98, 109.0, nan, nan)     | Verkoopwaarde50VanDeTotaleOmzet_84      | Verkoopwaarde >= 50% van de totale omzet | % van bedrijven             |
| (97, 98, 110.0, 111.0, nan)   | VerkoopViaEenWebsiteApp_85              | Verkoop via een website/app              | % van bedrijven             |
| (97, 98, 110.0, 112.0, nan)   | Verkoopwaarde1VanDeTotaleOmzet_86       | Verkoopwaarde < 1% van de totale omzet   | % van bedrijven             |
| (97, 98, 110.0, 113.0, nan)   | Verkoopwaarde1VanDeTotaleOmzet_87       | Verkoopwaarde >= 1% van de totale omzet  | % van bedrijven             |
| (97, 98, 110.0, 114.0, nan)   | Verkoopwaarde2VanDeTotaleOmzet_88       | Verkoopwaarde >= 2% van de totale omzet  | % van bedrijven             |
| (97, 98, 110.0, 115.0, nan)   | Verkoopwaarde5VanDeTotaleOmzet_89       | Verkoopwaarde >= 5% van de totale omzet  | % van bedrijven             |
| (97, 98, 110.0, 116.0, nan)   | Verkoopwaarde10VanDeTotaleOmzet_90      | Verkoopwaarde >= 10% van de totale omzet | % van bedrijven             |
| (97, 98, 110.0, 117.0, nan)   | Verkoopwaarde25VanDeTotaleOmzet_91      | Verkoopwaarde >= 25% van de totale omzet | % van bedrijven             |
| (97, 98, 110.0, 118.0, nan)   | Verkoopwaarde50VanDeTotaleOmzet_92      | Verkoopwaarde >= 50% van de totale omzet | % van bedrijven             |
| (97, 98, 110.0, 119.0, 120.0) | NederlandseConsumenten_93               | Nederlandse consumenten                  | % van omzet via website/app |
| (97, 98, 110.0, 119.0, 121.0) | BuitenlandseConsumenten_94              | Buitenlandse consumenten                 | % van omzet via website/app |
| (97, 98, 110.0, 119.0, 122.0) | Bedrijven_95                            | Bedrijven                                | % van omzet via website/app |
| (97, 98, 110.0, 119.0, 123.0) | Overheden_96                            | Overheden                                | % van omzet via website/app |
| (97, 98, 124.0, 125.0, nan)   | VerkoopViaEDI_97                        | Verkoop via EDI                          | % van bedrijven             |
